step,train_acc,val_acc,train_loss,val_loss,margin,cum_travel,rel_travel,eff_rank,fro,spec,upd_cos
0,0.0011,0.0002,4.6207,4.6179,-0.8380,0.00000,0.00000,0.9227,3.7396,0.5153,nan
100,1.0000,0.2160,0.1561,4.3850,-2.4897,16.38303,3.10684,0.8724,5.2732,1.1663,0.9920
200,1.0000,0.2632,0.0121,4.2966,-2.4842,18.98189,3.50314,0.8612,5.4185,1.1935,1.0000
300,1.0000,0.2830,0.0033,4.3261,-2.4547,20.06873,3.67408,0.8556,5.4623,1.2026,1.0000
400,1.0000,0.2913,0.0010,4.3870,-2.4223,20.93442,3.80599,0.8509,5.5004,1.2112,1.0000
500,1.0000,0.2983,0.0003,4.4736,-2.3901,21.69215,3.91796,0.8468,5.5366,1.2202,1.0000
600,1.0000,0.3035,0.0001,4.5824,-2.3663,22.37714,4.01620,0.8430,5.5717,1.2299,1.0000
700,1.0000,0.3097,0.0000,4.7106,-2.3509,23.00460,4.10355,0.8396,5.6060,1.2402,1.0000
800,1.0000,0.3132,0.0000,4.8557,-2.3445,23.58245,4.18165,0.8365,5.6395,1.2509,0.9999
900,1.0000,0.3165,0.0000,5.0152,-2.3409,24.11555,4.25169,0.8337,5.6720,1.2616,0.9992
1000,1.0000,0.3177,0.0000,5.1852,-2.3413,24.60545,4.31457,0.8312,5.7029,1.2719,0.9965
1100,1.0000,0.3197,0.0000,5.3597,-2.3444,25.05045,4.37126,0.8291,5.7307,1.2809,0.9895
1200,1.0000,0.3220,0.0000,5.5189,-2.3423,25.46342,4.42595,0.8276,5.7532,1.2877,0.9590
1300,1.0000,0.3095,0.0002,5.0515,-2.9865,29.35844,4.91185,0.8380,5.9771,1.3518,0.9997
1400,1.0000,0.3155,0.0001,4.9944,-2.7446,29.50225,4.93510,0.8382,5.9780,1.3507,1.0000
1500,1.0000,0.3211,0.0000,4.9652,-2.5585,29.62789,4.95554,0.8385,5.9787,1.3496,1.0000
1600,1.0000,0.3255,0.0000,4.9537,-2.3899,29.75980,4.97686,0.8388,5.9796,1.3484,1.0000
1700,1.0000,0.3267,0.0000,4.9652,-2.2404,29.89963,4.99936,0.8392,5.9807,1.3472,1.0000
1800,1.0000,0.3278,0.0000,5.0033,-2.1158,30.04649,5.02293,0.8394,5.9819,1.3461,1.0000
1900,1.0000,0.3290,0.0000,5.0682,-2.0196,30.19853,5.04734,0.8396,5.9831,1.3450,1.0000
2000,1.0000,0.3308,0.0000,5.1585,-1.9524,30.35435,5.07247,0.8398,5.9841,1.3438,0.9999
2100,1.0000,0.3305,0.0000,5.2576,-1.9146,30.51057,5.09776,0.8398,5.9851,1.3428,0.9995
2200,1.0000,0.3316,0.0000,5.3329,-1.9063,30.67081,5.12400,0.8399,5.9857,1.3420,0.9947
2300,1.0000,0.3316,0.0000,5.3399,-1.8884,30.86618,5.15643,0.8405,5.9860,1.3408,0.9767
2400,1.0000,0.3288,0.0000,5.3404,-1.8608,31.15806,5.20526,0.8416,5.9859,1.3380,0.9470
2500,1.0000,0.3282,0.0000,5.3427,-1.8242,31.57757,5.27533,0.8429,5.9859,1.3340,0.8786
2600,1.0000,0.3270,0.0000,5.3627,-1.7920,32.14481,5.36880,0.8439,5.9873,1.3301,0.5962
2700,1.0000,0.3281,0.0000,5.3748,-1.7714,32.92970,5.49549,0.8447,5.9921,1.3283,0.6468
2800,1.0000,0.3272,0.0000,5.3655,-1.7311,33.93447,5.65471,0.8456,6.0011,1.3280,0.6847
2900,1.0000,0.3282,0.0000,5.3849,-1.6940,35.03448,5.82740,0.8463,6.0120,1.3289,0.3471
3000,1.0000,0.3287,0.0000,5.4088,-1.6927,36.16555,6.00413,0.8469,6.0234,1.3301,0.6148
3100,1.0000,0.2868,0.0004,6.0936,-4.1591,41.09553,6.50474,0.8499,6.3178,1.4640,0.9993
3200,1.0000,0.3018,0.0001,5.9281,-3.7051,41.28275,6.52763,0.8502,6.3243,1.4654,1.0000
3300,1.0000,0.3089,0.0000,5.8521,-3.4628,41.37764,6.54183,0.8503,6.3251,1.4650,1.0000
3400,1.0000,0.3152,0.0000,5.7806,-3.2211,41.47474,6.55610,0.8504,6.3261,1.4647,1.0000
3500,1.0000,0.3211,0.0000,5.7115,-2.9717,41.57731,6.57096,0.8506,6.3274,1.4645,1.0000
3600,1.0000,0.3258,0.0000,5.6471,-2.7176,41.68542,6.58644,0.8508,6.3290,1.4644,1.0000
3700,1.0000,0.3310,0.0000,5.5910,-2.4685,41.79835,6.60249,0.8510,6.3307,1.4643,1.0000
3800,1.0000,0.3340,0.0000,5.5470,-2.2320,41.91553,6.61915,0.8512,6.3325,1.4643,0.9999
3900,1.0000,0.3367,0.0000,5.5111,-2.0275,42.03455,6.63621,0.8514,6.3341,1.4643,0.9997
4000,1.0000,0.3388,0.0000,5.4080,-1.8354,42.18279,6.65814,0.8516,6.3355,1.4645,0.9980
