step,train_acc,val_acc,train_loss,val_loss,margin,cum_travel,rel_travel,eff_rank,fro,spec,upd_cos
0,0.0000,0.0000,4.6356,4.6399,-1.2755,0.00000,0.00000,0.9233,3.7413,0.5157,nan
100,1.0000,0.3102,0.1315,3.4731,-1.2686,15.95783,3.06724,0.8729,5.2027,1.0914,0.9936
200,1.0000,0.3346,0.0118,3.1757,-0.6616,18.26758,3.43364,0.8622,5.3202,1.1131,1.0000
300,1.0000,0.3481,0.0032,3.0986,-0.3167,19.30290,3.60193,0.8566,5.3590,1.1237,1.0000
400,1.0000,0.3548,0.0010,3.0661,-0.0231,20.13119,3.73277,0.8518,5.3931,1.1344,1.0000
500,1.0000,0.3653,0.0003,3.0579,0.2504,20.85772,3.84422,0.8474,5.4257,1.1456,1.0000
600,1.0000,0.3713,0.0001,3.0680,0.5093,21.51556,3.94221,0.8435,5.4577,1.1571,1.0000
700,1.0000,0.3780,0.0000,3.0942,0.7585,22.11868,4.02946,0.8400,5.4892,1.1683,1.0000
800,1.0000,0.3877,0.0000,3.1353,1.0031,22.68078,4.10878,0.8368,5.5201,1.1790,0.8532
900,1.0000,0.3932,0.0000,3.1875,1.2460,23.23894,4.18733,0.8340,5.5498,1.1887,0.9672
1000,1.0000,0.4837,0.0004,2.1313,1.1763,27.22127,4.69456,0.8418,5.7985,1.2685,0.9997
1100,1.0000,0.5010,0.0002,2.0212,1.5900,27.39406,4.72349,0.8424,5.7995,1.2667,1.0000
1200,1.0000,0.5121,0.0001,1.9712,1.8923,27.54761,4.74914,0.8430,5.8005,1.2650,1.0000
1300,1.0000,0.5194,0.0000,1.9637,2.1445,27.70846,4.77578,0.8435,5.8019,1.2635,1.0000
1400,1.0000,0.5175,0.0000,1.9993,2.3412,27.87782,4.80367,0.8440,5.8034,1.2621,1.0000
1500,1.0000,0.5118,0.0000,2.0723,2.4863,28.05394,4.83258,0.8444,5.8052,1.2608,1.0000
1600,1.0000,0.5055,0.0000,2.1719,2.6000,28.23369,4.86208,0.8446,5.8069,1.2595,1.0000
1700,1.0000,0.4949,0.0000,2.2877,2.6964,28.41304,4.89156,0.8447,5.8086,1.2581,0.9999
1800,1.0000,0.4863,0.0000,2.4103,2.7883,28.58997,4.92073,0.8448,5.8101,1.2567,0.9996
1900,1.0000,0.4796,0.0000,2.5316,2.8675,28.76368,4.94945,0.8447,5.8115,1.2556,0.9986
2000,1.0000,0.4680,0.0000,2.6544,2.8613,28.95619,4.98141,0.8448,5.8128,1.2549,0.9843
2100,1.0000,0.4553,0.0000,2.7811,2.7634,29.20226,5.02296,0.8455,5.8138,1.2529,0.9439
2200,1.0000,0.4430,0.0000,2.8780,2.7010,29.55667,5.08312,0.8468,5.8147,1.2491,0.8817
2300,1.0000,0.4380,0.0000,2.9438,2.6838,30.05327,5.16693,0.8481,5.8165,1.2448,0.7891
2400,1.0000,0.4357,0.0000,2.9778,2.7043,30.73639,5.28092,0.8491,5.8203,1.2417,0.6861
2500,1.0000,0.4759,0.0003,2.5362,0.9170,35.07076,5.82156,0.8538,6.0243,1.2706,0.9989
