step,train_acc,val_acc,train_loss,val_loss,margin,cum_travel,rel_travel,eff_rank,fro,spec,upd_cos
0,0.0011,0.0002,4.6207,4.6179,-0.8380,0.00000,0.00000,0.9227,3.7396,0.5153,nan
100,1.0000,0.2125,0.3035,4.2637,-2.2204,15.86553,3.26005,0.8656,4.8667,1.1708,0.9591
200,0.9979,0.2426,0.1250,4.0968,-2.2380,19.72716,4.16532,0.8388,4.7360,1.2562,0.4702
300,1.0000,0.3064,0.0202,3.5407,-1.4639,22.93061,5.02841,0.8305,4.5602,1.3024,0.9990
400,1.0000,0.3232,0.0094,3.3494,-1.1793,24.19848,5.44833,0.8114,4.4414,1.4134,0.9999
500,1.0000,0.3738,0.0166,2.7206,-0.4382,28.65828,6.27047,0.8048,4.5704,1.6249,0.9989
600,1.0000,0.3811,0.0133,2.6288,-0.2508,30.01746,6.70025,0.7856,4.4801,1.7602,0.9993
700,1.0000,0.5013,0.0139,1.9087,0.6819,34.02399,7.17811,0.7712,4.7400,2.0193,0.9992
800,1.0000,0.5692,0.0083,1.6227,1.1644,35.16422,7.50248,0.7572,4.6870,2.0521,1.0000
900,1.0000,0.7046,0.0036,1.1745,1.9795,36.29203,7.50152,0.7433,4.8380,2.1605,1.0000
1000,1.0000,0.8145,0.0015,0.7732,2.9079,37.40503,7.42503,0.7321,5.0377,2.2787,1.0000
1100,1.0000,0.8993,0.0006,0.4735,3.8758,38.49265,7.33573,0.7232,5.2473,2.3911,1.0000
1200,1.0000,0.9497,0.0003,0.2790,4.8296,39.54237,7.25082,0.7164,5.4535,2.4896,1.0000
1300,1.0000,0.9727,0.0001,0.1626,5.7494,40.58945,7.18876,0.7119,5.6462,2.5655,0.9451
1400,1.0000,0.9871,0.0001,0.0944,6.6439,41.68637,7.17888,0.7096,5.8068,2.6078,0.8482
1500,1.0000,0.9938,0.0061,0.0928,5.0342,46.92063,7.55729,0.7097,6.2087,2.8185,0.9958
1600,1.0000,0.9997,0.0039,0.0385,5.9719,48.29801,8.51433,0.7103,5.6726,2.5845,1.0000
1700,1.0000,0.9998,0.0046,0.0326,6.2241,49.56721,9.41525,0.7093,5.2646,2.4369,0.9999
1800,1.0000,1.0000,0.0030,0.0171,6.8941,50.91807,9.80527,0.7010,5.1929,2.5025,1.0000
1900,1.0000,1.0000,0.0014,0.0060,7.9296,52.06382,9.89779,0.6919,5.2601,2.6097,1.0000
2000,1.0000,1.0000,0.0006,0.0020,9.0108,53.00200,9.98374,0.6843,5.3088,2.6633,1.0000
2100,1.0000,1.0000,0.0003,0.0007,10.0417,53.84744,10.06240,0.6771,5.3514,2.6919,1.0000
2200,1.0000,1.0000,0.0001,0.0003,11.0156,54.63064,10.13462,0.6698,5.3905,2.7018,1.0000
2300,1.0000,1.0000,0.0001,0.0001,11.9366,55.38297,10.22856,0.6630,5.4145,2.6825,1.0000
2400,1.0000,1.0000,0.0000,0.0000,12.8033,56.26094,10.39141,0.6571,5.4142,2.6321,0.9819
2500,1.0000,1.0000,0.0005,0.0012,9.2404,61.32972,10.86363,0.6422,5.6454,2.8734,0.9997
2600,1.0000,1.0000,0.0009,0.0018,9.2228,62.50623,12.13149,0.6423,5.1524,2.6255,0.9999
2700,1.0000,1.0000,0.0009,0.0016,9.6344,63.43666,12.95111,0.6362,4.8982,2.5153,0.9999
2800,1.0000,1.0000,0.0004,0.0008,10.3646,64.31863,13.05801,0.6238,4.9256,2.5659,1.0000
2900,1.0000,1.0000,0.0002,0.0004,11.1299,65.11947,12.99620,0.6121,5.0107,2.6281,1.0000
3000,1.0000,1.0000,0.0001,0.0002,11.9059,65.83315,12.91597,0.6023,5.0970,2.6670,1.0000
3100,1.0000,1.0000,0.0000,0.0001,12.6837,66.50938,12.85844,0.5947,5.1724,2.6764,0.9406
3200,1.0000,1.0000,0.0000,0.0000,13.3387,67.26799,12.87279,0.5890,5.2256,2.6538,0.2676
3300,1.0000,1.0000,0.0004,0.0008,9.8508,71.88970,13.17975,0.5777,5.4546,2.9262,0.9999
3400,1.0000,1.0000,0.0006,0.0010,10.0465,72.92231,14.28933,0.5739,5.1033,2.7420,0.9998
3500,1.0000,1.0000,0.0003,0.0006,10.7212,73.71636,14.50124,0.5637,5.0835,2.7458,1.0000
3600,1.0000,1.0000,0.0002,0.0003,11.4611,74.43434,14.41745,0.5541,5.1628,2.7893,1.0000
3700,1.0000,1.0000,0.0001,0.0001,12.2154,75.09287,14.30945,0.5472,5.2478,2.8163,1.0000
3800,1.0000,1.0000,0.0000,0.0000,12.9804,75.75571,14.22859,0.5432,5.3242,2.8179,0.9710
3900,1.0000,1.0000,0.0007,0.0016,8.8909,80.87548,13.43917,0.5369,6.0179,3.3416,0.9977
4000,1.0000,1.0000,0.0011,0.0020,9.0014,82.15405,14.90478,0.5372,5.5119,3.0634,0.9999
