step,train_acc,val_acc,train_loss,val_loss,margin,cum_travel,rel_travel,eff_rank,fro,spec,upd_cos
0,0.0000,0.0000,4.6356,4.6399,-1.2755,0.00000,0.00000,0.9233,3.7413,0.5157,nan
100,1.0000,0.3143,0.2603,3.3493,-1.0623,15.43829,3.22596,0.8677,4.7856,1.0895,0.9779
200,1.0000,0.3800,0.0389,2.5611,0.0339,19.71466,4.23121,0.8456,4.6593,1.1625,0.8892
300,1.0000,0.4353,0.0162,2.2295,0.6649,21.31361,4.81907,0.8307,4.4228,1.1901,0.9999
400,1.0000,0.6555,0.0166,1.4098,1.6984,25.71035,5.80879,0.8255,4.4261,1.3120,0.9977
500,1.0000,0.6854,0.0117,1.3296,1.9398,26.74478,6.37545,0.8135,4.1950,1.3489,0.9999
600,1.0000,0.9637,0.0178,0.4321,3.3146,30.60659,6.82809,0.7971,4.4825,1.6089,0.9780
700,1.0000,0.9775,0.0101,0.3491,3.8635,31.89458,7.54763,0.7908,4.2258,1.5713,0.9999
800,1.0000,0.9917,0.0055,0.1923,4.6423,33.09736,7.82127,0.7728,4.2317,1.6930,1.0000
900,1.0000,0.9985,0.0024,0.0642,5.8510,34.21629,7.85265,0.7566,4.3573,1.8311,1.0000
1000,1.0000,0.9997,0.0010,0.0178,7.1379,35.25586,7.85429,0.7439,4.4887,1.9403,1.0000
1100,1.0000,1.0000,0.0004,0.0047,8.4024,36.22228,7.86360,0.7336,4.6063,2.0208,1.0000
1200,1.0000,1.0000,0.0002,0.0013,9.5933,37.13612,7.88284,0.7248,4.7110,2.0778,1.0000
1300,1.0000,1.0000,0.0001,0.0004,10.7161,38.03643,7.92641,0.7174,4.7987,2.1075,0.6393
1400,1.0000,1.0000,0.0000,0.0001,11.7322,39.03977,8.03249,0.7115,4.8602,2.1094,0.5945
1500,1.0000,0.9997,0.0015,0.0053,7.6790,43.01780,8.40779,0.6993,5.1164,2.2546,0.9931
1600,1.0000,1.0000,0.0005,0.0013,9.3192,44.33918,9.42504,0.6987,4.7044,2.0721,1.0000
1700,1.0000,1.0000,0.0006,0.0014,9.6498,45.28178,10.36793,0.6957,4.3675,1.9374,0.9999
1800,1.0000,1.0000,0.0003,0.0007,10.3987,46.22380,10.65166,0.6825,4.3396,1.9947,1.0000
1900,1.0000,1.0000,0.0002,0.0003,11.2295,47.14074,10.62111,0.6666,4.4384,2.1147,1.0000
2000,1.0000,1.0000,0.0001,0.0001,12.0611,47.90435,10.54516,0.6522,4.5428,2.2064,1.0000
2100,1.0000,1.0000,0.0021,0.0048,7.5800,52.68412,10.23826,0.6276,5.1458,2.6712,0.9945
2200,1.0000,1.0000,0.0018,0.0032,8.3062,53.82757,11.39832,0.6274,4.7224,2.4579,0.9999
2300,1.0000,1.0000,0.0019,0.0035,8.7214,54.76150,12.20147,0.6223,4.4881,2.3411,0.9999
2400,1.0000,1.0000,0.0010,0.0019,9.4824,55.59593,12.31350,0.6097,4.5150,2.3582,1.0000
2500,1.0000,1.0000,0.0004,0.0008,10.2891,56.37596,12.18411,0.5971,4.6270,2.4146,1.0000
