step,train_acc,val_acc,train_loss,val_loss,margin,cum_travel,rel_travel,eff_rank,fro,spec,upd_cos
0,0.0011,0.0002,4.6207,4.6179,-0.8380,0.00000,0.00000,0.9227,3.7396,0.5153,nan
100,1.0000,0.4908,0.0734,2.1095,0.6889,29.76241,3.71554,0.8963,8.0102,1.1127,0.6209
200,1.0000,0.9851,0.0055,0.3800,4.1025,59.54416,4.06000,0.8641,14.6660,2.0798,0.3482
300,1.0000,1.0000,0.0016,0.0273,6.8736,88.97625,5.10326,0.8612,17.4352,2.5374,-0.0001
400,1.0000,1.0000,0.0006,0.0021,9.0656,118.51286,6.28320,0.8670,18.8619,2.7891,-0.1781
500,1.0000,1.0000,0.0003,0.0004,10.5868,148.59739,7.57987,0.8729,19.6042,2.9111,-0.3248
600,1.0000,1.0000,0.0001,0.0001,11.7234,178.58634,8.90452,0.8754,20.0557,3.0384,-0.4392
700,1.0000,1.0000,0.0000,0.0000,12.8199,207.90135,10.14878,0.8730,20.4853,3.1624,-0.5192
800,1.0000,1.0000,0.0000,0.0000,13.8861,236.66497,11.29313,0.8695,20.9565,3.2766,-0.6080
900,1.0000,1.0000,0.0000,0.0000,14.9558,265.00320,12.36531,0.8654,21.4312,3.3945,-0.6437
1000,1.0000,1.0000,0.0000,0.0000,16.0179,292.89055,13.37575,0.8617,21.8971,3.4939,-0.6917
1100,1.0000,1.0000,0.0000,0.0000,17.0468,320.62863,14.32252,0.8591,22.3863,3.6060,-0.6643
1200,1.0000,1.0000,0.0000,0.0000,18.0300,348.31874,15.23698,0.8570,22.8601,3.6856,-0.7576
1300,1.0000,1.0000,0.0000,0.0000,18.8475,375.32927,16.05371,0.8564,23.3796,3.7450,-0.2144
1400,1.0000,1.0000,0.0000,0.0000,19.1436,402.14889,16.58901,0.8559,24.2419,3.8638,-0.2604
1500,1.0000,1.0000,0.0000,0.0000,19.2597,428.86246,17.03613,0.8559,25.1737,3.9950,-0.2024
1600,1.0000,1.0000,0.0000,0.0000,19.2268,455.41720,17.50642,0.8565,26.0143,4.1271,0.6214
1700,1.0000,1.0000,0.0000,0.0000,19.2913,481.98696,17.96808,0.8568,26.8246,4.2257,0.0753
1800,1.0000,1.0000,0.0000,0.0000,19.1989,508.56338,18.42151,0.8571,27.6070,4.3206,0.6018
1900,1.0000,1.0000,0.0000,0.0000,19.1930,535.07084,18.88154,0.8570,28.3383,4.3929,0.1937
2000,1.0000,1.0000,0.0000,0.0000,19.3017,561.47919,19.37259,0.8571,28.9832,4.4667,0.0442
2100,1.0000,1.0000,0.0000,0.0000,19.1186,587.85620,19.86261,0.8569,29.5961,4.5492,0.4672
2200,1.0000,1.0000,0.0000,0.0000,19.1685,614.20778,20.39749,0.8565,30.1119,4.6205,0.4195
2300,1.0000,1.0000,0.0000,0.0000,19.2003,640.58148,20.98906,0.8562,30.5198,4.6774,0.4072
2400,1.0000,1.0000,0.0000,0.0000,19.2237,667.03847,21.57374,0.8563,30.9190,4.7336,0.3839
2500,1.0000,1.0000,0.0000,0.0000,19.2173,693.56678,22.10057,0.8563,31.3823,4.7966,0.3790
2600,1.0000,1.0000,0.0000,0.0000,19.2079,720.14566,22.56074,0.8562,31.9203,4.8612,0.3504
2700,1.0000,1.0000,0.0000,0.0000,19.2054,746.83051,23.02385,0.8560,32.4372,4.9251,0.3606
2800,1.0000,1.0000,0.0000,0.0000,19.2099,773.60682,23.49914,0.8558,32.9206,4.9782,0.3313
2900,1.0000,1.0000,0.0000,0.0000,19.1992,800.43217,23.99364,0.8558,33.3602,5.0413,0.3224
3000,1.0000,1.0000,0.0000,0.0000,19.2135,827.29817,24.50284,0.8559,33.7634,5.0931,0.2982
3100,1.0000,1.0000,0.0000,0.0000,19.2292,854.17887,25.03441,0.8560,34.1202,5.1442,0.3128
3200,1.0000,1.0000,0.0000,0.0000,19.2485,881.09614,25.60574,0.8561,34.4101,5.1755,0.2843
3300,1.0000,1.0000,0.0000,0.0000,19.2872,907.99328,26.25374,0.8567,34.5853,5.1997,0.2591
3400,1.0000,1.0000,0.0000,0.0000,19.3094,934.78451,26.90608,0.8578,34.7425,5.2091,0.2665
3500,1.0000,1.0000,0.0000,0.0000,19.3073,961.47290,27.51224,0.8590,34.9471,5.2209,0.2554
3600,1.0000,1.0000,0.0000,0.0000,19.3096,988.15850,28.08172,0.8600,35.1887,5.2398,0.2393
3700,1.0000,1.0000,0.0000,0.0000,19.2637,1014.87340,28.63166,0.8609,35.4458,5.2577,0.2326
3800,1.0000,1.0000,0.0000,0.0000,19.2601,1041.58275,29.15318,0.8618,35.7279,5.2843,0.2391
3900,1.0000,1.0000,0.0000,0.0000,19.2476,1068.28423,29.64541,0.8625,36.0354,5.3132,0.2265
4000,1.0000,1.0000,0.0000,0.0000,19.2126,1094.92258,30.10482,0.8633,36.3703,5.3452,0.2467
