step,train_acc,val_acc,train_loss,val_loss,margin,cum_travel,rel_travel,eff_rank,fro,spec,upd_cos
0,0.0000,0.0000,4.6337,4.6373,-1.3850,0.00000,0.00000,0.9221,3.7425,0.5122,nan
100,1.0000,0.5576,0.0686,1.9386,0.9672,29.69331,3.69948,0.8966,8.0263,1.1197,0.6354
200,1.0000,0.9985,0.0053,0.2189,4.7783,59.53945,4.01414,0.8665,14.8324,2.0973,0.3686
300,1.0000,1.0000,0.0016,0.0172,7.3169,88.97888,5.04979,0.8644,17.6203,2.5888,-0.0240
400,1.0000,1.0000,0.0007,0.0017,9.3622,118.89013,6.29694,0.8699,18.8806,2.7618,-0.2285
500,1.0000,1.0000,0.0003,0.0004,10.7345,148.98019,7.63325,0.8744,19.5173,2.8774,-0.3863
600,1.0000,1.0000,0.0001,0.0001,11.8320,178.16710,8.91855,0.8742,19.9771,3.0017,-0.5394
700,1.0000,1.0000,0.0000,0.0000,12.9012,206.62047,10.08354,0.8719,20.4909,3.1556,-0.5901
800,1.0000,1.0000,0.0000,0.0000,13.9783,234.67790,11.15656,0.8682,21.0350,3.2806,-0.6632
900,1.0000,1.0000,0.0000,0.0000,15.0346,262.45005,12.15176,0.8647,21.5977,3.3920,-0.6845
1000,1.0000,1.0000,0.0000,0.0000,16.0698,290.00011,13.09351,0.8616,22.1484,3.4989,-0.7394
1100,1.0000,1.0000,0.0000,0.0000,17.0707,317.36341,13.99026,0.8587,22.6846,3.6058,-0.7334
1200,1.0000,1.0000,0.0000,0.0000,18.0814,344.77096,14.84855,0.8577,23.2192,3.7063,-0.7097
1300,1.0000,1.0000,0.0000,0.0000,18.8831,371.59582,15.68067,0.8562,23.6977,3.7868,-0.2909
1400,1.0000,1.0000,0.0000,0.0000,19.1943,398.40881,16.18212,0.8558,24.6203,3.9220,-0.1013
1500,1.0000,1.0000,0.0000,0.0000,19.2200,425.21236,16.61966,0.8555,25.5849,4.0758,0.5858
1600,1.0000,1.0000,0.0000,0.0000,19.2836,451.92541,17.05471,0.8555,26.4986,4.2043,0.6316
1700,1.0000,1.0000,0.0000,0.0000,19.4038,478.61767,17.48959,0.8562,27.3659,4.3364,-0.1113
1800,1.0000,1.0000,0.0000,0.0000,19.3573,505.28698,17.92852,0.8559,28.1834,4.4572,-0.2591
1900,1.0000,1.0000,0.0000,0.0000,19.2502,531.88737,18.39179,0.8561,28.9198,4.5432,0.5973
2000,1.0000,1.0000,0.0000,0.0000,19.1534,558.40504,18.83714,0.8560,29.6438,4.6202,0.4806
2100,1.0000,1.0000,0.0000,0.0000,19.2631,584.90056,19.27437,0.8559,30.3460,4.6977,0.6106
2200,1.0000,1.0000,0.0000,0.0000,19.1692,611.33544,19.72688,0.8557,30.9900,4.7794,0.5027
2300,1.0000,1.0000,0.0000,0.0000,19.3915,637.74084,20.20589,0.8553,31.5621,4.8646,-0.1386
2400,1.0000,1.0000,0.0000,0.0000,19.4405,664.16903,20.74290,0.8552,32.0191,4.9322,-0.2310
2500,1.0000,1.0000,0.0000,0.0000,19.4708,690.67526,21.27099,0.8551,32.4703,4.9975,-0.2978
