step,train_acc,val_acc,train_loss,val_loss,margin,cum_travel,rel_travel,eff_rank,fro,spec,upd_cos
0,0.0011,0.0002,4.6207,4.6179,-0.8380,0.00000,0.00000,0.9227,3.7396,0.5153,nan
100,1.0000,0.5385,0.1356,2.0706,0.7957,29.30331,3.96421,0.8951,7.3920,1.0364,0.4956
200,1.0000,0.9992,0.0231,0.2849,4.3031,57.91454,4.90180,0.8687,11.8149,1.6895,0.0824
300,1.0000,1.0000,0.0108,0.0225,6.8878,86.93778,6.78952,0.8746,12.8047,1.8867,-0.1721
400,1.0000,1.0000,0.0049,0.0055,8.4197,116.90946,9.32315,0.8758,12.5397,1.8790,-0.3617
500,1.0000,1.0000,0.0021,0.0023,9.3631,146.27913,11.95613,0.8553,12.2347,1.9172,-0.5155
600,1.0000,1.0000,0.0009,0.0010,10.2370,174.63396,14.41468,0.8444,12.1150,1.9774,-0.5864
700,1.0000,1.0000,0.0004,0.0004,11.1067,202.54947,16.79182,0.8344,12.0624,2.0416,-0.5774
800,1.0000,1.0000,0.0002,0.0002,11.9362,230.36606,19.08344,0.8272,12.0715,2.1156,-0.5818
900,1.0000,1.0000,0.0001,0.0001,12.7725,258.18023,21.25588,0.8218,12.1463,2.2393,-0.5415
1000,1.0000,1.0000,0.0000,0.0000,13.5783,286.03769,23.32584,0.8174,12.2627,2.3469,-0.5536
1100,1.0000,1.0000,0.0000,0.0000,14.4046,313.89967,25.10135,0.8158,12.5053,2.4549,-0.5327
1200,1.0000,1.0000,0.0000,0.0000,15.1978,341.57999,26.69483,0.8170,12.7957,2.5441,-0.5815
1300,1.0000,1.0000,0.0000,0.0000,15.9276,369.24058,28.42847,0.8168,12.9884,2.6045,-0.5869
1400,1.0000,1.0000,0.0000,0.0000,16.6050,396.79327,30.16956,0.8163,13.1521,2.6585,-0.6248
1500,1.0000,1.0000,0.0000,0.0000,17.1386,424.30713,31.98961,0.8158,13.2639,2.6828,-0.6243
1600,1.0000,1.0000,0.0000,0.0000,17.5396,451.91053,33.92512,0.8145,13.3208,2.6869,-0.5890
1700,1.0000,1.0000,0.0000,0.0000,17.8554,479.53286,35.84819,0.8120,13.3768,2.7045,-0.5850
1800,1.0000,1.0000,0.0000,0.0000,18.0635,507.14709,37.46802,0.8101,13.5355,2.7261,-0.5626
1900,1.0000,1.0000,0.0000,0.0000,18.1630,534.70534,38.84407,0.8098,13.7654,2.7467,-0.5637
2000,1.0000,1.0000,0.0000,0.0000,18.2545,562.21106,39.71707,0.8102,14.1554,2.7665,-0.5608
2100,1.0000,1.0000,0.0000,0.0000,18.3217,589.54871,40.43371,0.8112,14.5806,2.7857,-0.5573
2200,1.0000,1.0000,0.0000,0.0000,18.3614,616.86155,41.51005,0.8105,14.8605,2.7705,-0.5613
2300,1.0000,1.0000,0.0000,0.0000,18.3989,644.27558,42.47338,0.8099,15.1689,2.7725,-0.5406
2400,1.0000,1.0000,0.0000,0.0000,18.4198,671.78286,43.53741,0.8090,15.4300,2.7699,-0.5427
2500,1.0000,1.0000,0.0000,0.0000,18.4499,699.31038,44.49739,0.8084,15.7158,2.7603,-0.5506
2600,1.0000,1.0000,0.0000,0.0000,18.4700,726.88457,45.52197,0.8080,15.9678,2.7433,-0.5661
2700,1.0000,1.0000,0.0000,0.0000,18.5055,754.47290,46.43967,0.8074,16.2463,2.7170,-0.5735
2800,1.0000,1.0000,0.0000,0.0000,18.5371,781.99650,47.24238,0.8067,16.5529,2.6889,-0.5766
2900,1.0000,1.0000,0.0000,0.0000,18.5674,809.46795,48.01411,0.8063,16.8590,2.6614,-0.5423
3000,1.0000,1.0000,0.0000,0.0000,18.5826,836.88035,48.82726,0.8057,17.1396,2.6379,-0.5813
3100,1.0000,1.0000,0.0000,0.0000,18.6085,864.30639,49.62524,0.8051,17.4167,2.6130,-0.5571
3200,1.0000,1.0000,0.0000,0.0000,18.6374,891.72182,50.51836,0.8045,17.6514,2.5859,-0.5500
3300,1.0000,1.0000,0.0000,0.0000,18.6445,919.12989,51.49357,0.8038,17.8494,2.5564,-0.5768
3400,1.0000,1.0000,0.0000,0.0000,18.6844,946.54288,52.43059,0.8031,18.0533,2.5285,-0.5759
3500,1.0000,1.0000,0.0000,0.0000,18.6641,973.97287,53.40435,0.8022,18.2377,2.5111,-0.6033
3600,1.0000,1.0000,0.0000,0.0000,18.7061,1001.42302,54.44616,0.8012,18.3929,2.4861,-0.5701
3700,1.0000,1.0000,0.0000,0.0000,18.7203,1028.88481,55.49840,0.8005,18.5390,2.4688,-0.6009
3800,1.0000,1.0000,0.0000,0.0000,18.7374,1056.38260,56.56428,0.7999,18.6758,2.4557,-0.6123
3900,1.0000,1.0000,0.0000,0.0000,18.7536,1083.87289,57.67863,0.7991,18.7916,2.4480,-0.6034
4000,1.0000,1.0000,0.0000,0.0000,18.7416,1111.37942,58.78461,0.7982,18.9060,2.4476,-0.6357
