step,train_acc,val_acc,train_loss,val_loss,margin,cum_travel,rel_travel,eff_rank,fro,spec,upd_cos
0,0.0000,0.0000,4.6337,4.6373,-1.3850,0.00000,0.00000,0.9221,3.7425,0.5122,nan
100,1.0000,0.6290,0.1291,1.8898,1.0747,29.27145,3.94464,0.8949,7.4206,1.0382,0.5312
200,1.0000,1.0000,0.0230,0.1958,4.7643,57.82290,4.84287,0.8703,11.9398,1.7195,0.0734
300,1.0000,1.0000,0.0109,0.0216,7.0140,87.00329,6.78514,0.8758,12.8226,1.8814,-0.2015
400,1.0000,1.0000,0.0049,0.0057,8.4360,117.16958,9.30850,0.8739,12.5874,1.9104,-0.3954
500,1.0000,1.0000,0.0021,0.0023,9.3942,146.26364,11.87882,0.8544,12.3130,2.0029,-0.5564
600,1.0000,1.0000,0.0009,0.0010,10.2567,174.54523,14.32685,0.8423,12.1831,2.0798,-0.5524
700,1.0000,1.0000,0.0004,0.0004,11.1076,202.52166,16.67435,0.8326,12.1457,2.1798,-0.5712
800,1.0000,1.0000,0.0002,0.0002,11.9356,230.34508,18.93758,0.8247,12.1634,2.2920,-0.5638
900,1.0000,1.0000,0.0001,0.0001,12.7759,258.19591,21.10845,0.8198,12.2319,2.3919,-0.5628
1000,1.0000,1.0000,0.0000,0.0000,13.5814,286.13712,23.09545,0.8162,12.3893,2.4962,-0.5472
1100,1.0000,1.0000,0.0000,0.0000,14.4139,314.03306,25.04243,0.8119,12.5400,2.6304,-0.5283
1200,1.0000,1.0000,0.0000,0.0000,15.1875,341.87037,26.80610,0.8102,12.7535,2.7142,-0.5224
1300,1.0000,1.0000,0.0000,0.0000,15.9354,369.57086,28.30529,0.8124,13.0566,2.7419,-0.6014
1400,1.0000,1.0000,0.0000,0.0000,16.5900,397.21233,30.03558,0.8131,13.2247,2.7693,-0.6074
1500,1.0000,1.0000,0.0000,0.0000,17.1288,424.82764,31.85592,0.8121,13.3359,2.7991,-0.6145
1600,1.0000,1.0000,0.0000,0.0000,17.5400,452.41491,33.77351,0.8103,13.3956,2.8078,-0.6102
1700,1.0000,1.0000,0.0000,0.0000,17.8343,479.95046,35.61499,0.8103,13.4761,2.7693,-0.5838
1800,1.0000,1.0000,0.0000,0.0000,18.0555,507.53251,37.28812,0.8089,13.6111,2.7602,-0.5451
1900,1.0000,1.0000,0.0000,0.0000,18.1779,535.11089,38.66774,0.8083,13.8387,2.7798,-0.5468
2000,1.0000,1.0000,0.0000,0.0000,18.2758,562.59546,39.64868,0.8085,14.1895,2.7994,-0.5373
2100,1.0000,1.0000,0.0000,0.0000,18.3410,589.97632,40.45369,0.8094,14.5840,2.8128,-0.5392
2200,1.0000,1.0000,0.0000,0.0000,18.3823,617.31489,41.45440,0.8087,14.8914,2.8039,-0.5438
2300,1.0000,1.0000,0.0000,0.0000,18.4031,644.70071,42.38932,0.8080,15.2090,2.7981,-0.5377
2400,1.0000,1.0000,0.0000,0.0000,18.4440,672.20040,43.39663,0.8079,15.4897,2.7980,-0.5655
2500,1.0000,1.0000,0.0000,0.0000,18.4806,699.75344,44.33608,0.8077,15.7829,2.7999,-0.5614
