step,train_acc,val_acc,train_loss,val_loss,margin,cum_travel,rel_travel,eff_rank,fro,spec,upd_cos
0,0.0011,0.0002,4.6207,4.6179,-0.8380,0.00000,0.00000,0.9227,3.7396,0.5153,nan
100,1.0000,0.2142,0.1955,4.3499,-2.4100,16.18155,3.14845,0.8708,5.1395,1.1631,0.9847
200,1.0000,0.2701,0.0175,4.1433,-2.2766,18.98622,3.67633,0.8562,5.1644,1.1889,1.0000
300,1.0000,0.2898,0.0055,4.0634,-2.1094,20.34095,3.98653,0.8468,5.1024,1.2035,1.0000
400,1.0000,0.3027,0.0019,4.0205,-1.9357,21.50152,4.25303,0.8380,5.0556,1.2259,1.0000
500,1.0000,0.3199,0.0036,3.6414,-1.5911,25.69912,4.90970,0.8396,5.2344,1.3410,0.9966
600,1.0000,0.3240,0.0018,3.6169,-1.4212,26.21665,5.14525,0.8393,5.0953,1.3173,1.0000
700,1.0000,0.3262,0.0011,3.6651,-1.3902,26.68405,5.37390,0.8379,4.9655,1.3006,1.0000
800,1.0000,0.3270,0.0005,3.7412,-1.3950,27.13048,5.59073,0.8350,4.8528,1.2934,1.0000
900,1.0000,0.3275,0.0002,3.8273,-1.3900,27.55356,5.78602,0.8310,4.7621,1.2989,1.0000
1000,1.0000,0.3296,0.0001,3.9129,-1.3592,27.96498,5.95606,0.8262,4.6952,1.3166,1.0000
1100,1.0000,0.3331,0.0000,3.9923,-1.2973,28.37302,6.09972,0.8210,4.6515,1.3426,1.0000
1200,1.0000,0.3369,0.0000,4.0629,-1.2041,28.77739,6.21669,0.8160,4.6291,1.3724,0.9999
1300,1.0000,0.3590,0.0053,3.2945,-1.3539,32.80906,6.52679,0.8106,5.0268,1.6560,0.9966
1400,1.0000,0.3987,0.0009,2.8640,-0.5025,33.34204,6.79679,0.8117,4.9056,1.6145,1.0000
1500,1.0000,0.4061,0.0005,2.7244,-0.1788,33.72770,7.06143,0.8118,4.7763,1.5811,1.0000
1600,1.0000,0.4072,0.0003,2.7020,-0.0030,34.14769,7.31949,0.8112,4.6653,1.5627,1.0000
1700,1.0000,0.3996,0.0002,2.7622,0.0544,34.59659,7.55561,0.8089,4.5789,1.5618,1.0000
1800,1.0000,0.3937,0.0001,2.8291,0.1022,35.04980,7.74439,0.8046,4.5258,1.5788,1.0000
1900,1.0000,0.3918,0.0000,2.8702,0.2003,35.49518,7.86247,0.7987,4.5145,1.6143,1.0000
2000,1.0000,0.3965,0.0000,2.8821,0.3555,35.91819,7.91300,0.7926,4.5391,1.6589,1.0000
2100,1.0000,0.4040,0.0000,2.8723,0.5609,36.30546,7.92338,0.7874,4.5821,1.6990,0.9998
2200,1.0000,0.4163,0.0000,2.8477,0.8053,36.65712,7.91857,0.7832,4.6293,1.7289,0.9985
2300,1.0000,0.4800,0.0074,2.1801,0.0911,40.17189,7.88029,0.7752,5.0978,2.0132,0.9946
2400,1.0000,0.6290,0.0005,1.3312,1.8886,40.91104,8.16562,0.7768,5.0102,1.9685,1.0000
2500,1.0000,0.6654,0.0003,1.1603,2.3182,41.27201,8.46306,0.7768,4.8767,1.9217,1.0000
2600,1.0000,0.6935,0.0002,1.0629,2.6555,41.65509,8.74670,0.7763,4.7624,1.8889,1.0000
2700,1.0000,0.7002,0.0001,1.0541,2.8356,42.07986,8.99095,0.7744,4.6802,1.8798,1.0000
2800,1.0000,0.6914,0.0001,1.0834,2.9447,42.54072,9.16057,0.7707,4.6439,1.8999,1.0000
2900,1.0000,0.6929,0.0000,1.0800,3.1381,42.99443,9.23551,0.7653,4.6553,1.9427,1.0000
3000,1.0000,0.7076,0.0000,1.0239,3.4698,43.39615,9.24008,0.7600,4.6965,1.9889,1.0000
