step,train_acc,val_acc,train_loss,val_loss,margin,cum_travel,rel_travel,eff_rank,fro,spec,upd_cos
0,0.0011,0.0002,4.6207,4.6179,-0.8380,0.00000,0.00000,0.9227,3.7396,0.5153,nan
100,0.9901,0.1717,1.0014,4.2272,-1.8264,14.76213,3.49814,0.8485,4.2200,1.2655,0.6372
200,1.0000,0.3205,0.3046,3.2182,-0.8740,19.67222,4.55073,0.7770,4.3229,1.7505,0.7327
300,1.0000,0.4560,0.2002,2.3519,0.1640,23.62678,4.71147,0.7159,5.0147,2.4231,0.8583
400,1.0000,0.7305,0.1407,1.5399,1.2398,27.26117,4.72747,0.6756,5.7665,3.0532,0.5696
500,1.0000,0.9482,0.0938,0.8467,2.3825,30.34479,4.71755,0.6502,6.4323,3.5852,0.8312
600,1.0000,0.9954,0.0678,0.4211,3.3597,33.30187,4.73719,0.6324,7.0299,4.0742,0.4936
700,1.0000,0.9995,0.0497,0.2204,4.0967,36.42606,4.78517,0.6184,7.6123,4.5905,0.7395
800,1.0000,1.0000,0.0380,0.1306,4.6151,39.64429,4.83540,0.6066,8.1988,5.1196,0.4275
900,1.0000,1.0000,0.0295,0.0839,5.0369,42.89545,4.90181,0.5963,8.7509,5.6262,0.1931
1000,1.0000,1.0000,0.0234,0.0570,5.4034,46.02511,4.99921,0.5872,9.2065,6.0577,0.3528
1100,1.0000,1.0000,0.0201,0.0440,5.6301,48.94262,5.10733,0.5792,9.5828,6.4055,-0.3474
1200,1.0000,1.0000,0.0156,0.0315,5.9780,51.85457,5.25921,0.5717,9.8598,6.6691,0.2683
1300,1.0000,1.0000,0.0134,0.0253,6.1829,54.55856,5.44232,0.5650,10.0249,6.8178,-0.3844
1400,1.0000,1.0000,0.0111,0.0200,6.4219,57.27005,5.64426,0.5588,10.1466,6.9289,0.0712
1500,1.0000,1.0000,0.0097,0.0167,6.5959,60.21341,5.91126,0.5530,10.1862,6.9638,0.1399
1600,1.0000,1.0000,0.0086,0.0142,6.7536,63.00782,6.17163,0.5469,10.2093,6.9823,0.1010
1700,1.0000,1.0000,0.0076,0.0121,6.9189,66.06197,6.51613,0.5409,10.1382,6.9239,-0.1292
1800,1.0000,1.0000,0.0068,0.0106,7.0628,69.16202,6.91489,0.5355,10.0019,6.7926,0.2107
1900,1.0000,1.0000,0.0061,0.0092,7.2182,72.40933,7.37896,0.5308,9.8129,6.6003,0.5779
2000,1.0000,1.0000,0.0055,0.0082,7.3344,75.45606,7.83235,0.5264,9.6339,6.4172,0.2427
2100,1.0000,1.0000,0.0050,0.0074,7.4345,78.14707,8.23055,0.5224,9.4948,6.2428,-0.1584
2200,1.0000,1.0000,0.0046,0.0068,7.5415,81.55557,8.81561,0.5193,9.2513,6.0276,0.5756
2300,1.0000,1.0000,0.0046,0.0067,7.5103,84.97644,9.36726,0.5162,9.0716,5.8606,0.2369
2400,1.0000,1.0000,0.0041,0.0059,7.6741,88.34983,9.97150,0.5140,8.8602,5.6426,0.2966
2500,1.0000,1.0000,0.0039,0.0055,7.7682,92.09070,10.80585,0.5124,8.5223,5.3512,0.6891
2600,1.0000,1.0000,0.0037,0.0052,7.8048,95.25566,11.29515,0.5103,8.4333,5.2325,-0.0733
2700,1.0000,1.0000,0.0034,0.0048,7.8857,97.98492,11.72285,0.5083,8.3585,5.1245,-0.0666
2800,1.0000,1.0000,0.0033,0.0047,7.8943,101.66611,12.46852,0.5076,8.1538,4.9551,0.3305
2900,1.0000,1.0000,0.0031,0.0043,8.0203,104.57491,13.11397,0.5071,7.9743,4.7687,0.3893
3000,1.0000,1.0000,0.0030,0.0041,8.0687,108.32558,13.74079,0.5044,7.8835,4.7325,0.7359
