step,train_acc,val_acc,train_loss,val_loss
0,0.0011,0.0002,4.6207,4.6179
100,1.0000,0.2116,0.1724,4.3813
200,1.0000,0.2658,0.0128,4.2464
300,1.0000,0.2865,0.0034,4.2239
400,1.0000,0.3012,0.0011,4.2159
500,1.0000,0.3117,0.0078,3.7036
600,1.0000,0.3264,0.0024,3.6170
700,1.0000,0.3310,0.0011,3.6172
800,1.0000,0.3334,0.0005,3.6467
900,1.0000,0.3357,0.0003,3.6621
1000,1.0000,0.3419,0.0001,3.6154
1100,1.0000,0.3548,0.0000,3.5127
1200,1.0000,0.3704,0.0000,3.3752
1300,1.0000,0.3902,0.0000,3.2113
1400,1.0000,0.4113,0.0000,3.0275
1500,1.0000,0.4392,0.0000,2.8279
1600,1.0000,0.4633,0.0000,2.6237
1700,1.0000,0.4884,0.0000,2.4583
1800,0.4865,0.1107,2.1888,6.1585
1900,1.0000,0.7538,0.0019,0.8299
2000,1.0000,0.8084,0.0008,0.6514
2100,1.0000,0.8620,0.0003,0.4487
2200,1.0000,0.9198,0.0001,0.2735
2300,1.0000,0.9620,0.0001,0.1494
2400,1.0000,0.9836,0.0000,0.0753
2500,1.0000,0.9924,0.0000,0.0337
2600,1.0000,0.9974,0.0000,0.0126
2700,1.0000,0.9994,0.0000,0.0047
2800,1.0000,0.9998,0.0000,0.0016
