step,train_acc,val_acc,train_loss,val_loss,margin,cum_travel,rel_travel,eff_rank,fro,spec,upd_cos
0,0.0011,0.0002,4.6207,4.6179,-0.8380,0.00000,0.00000,0.9227,3.7396,0.5153,nan
100,1.0000,0.4898,0.0781,2.1185,0.6948,29.68893,3.73957,0.8968,7.9391,1.1077,0.6091
200,1.0000,0.9879,0.0065,0.3682,4.1295,59.27333,4.14156,0.8632,14.3118,2.0525,0.3049
300,1.0000,1.0000,0.0021,0.0236,6.9437,88.61456,5.27305,0.8634,16.8052,2.4653,-0.0401
400,1.0000,1.0000,0.0009,0.0023,8.9848,118.14428,6.56039,0.8686,18.0087,2.6825,-0.2082
500,1.0000,1.0000,0.0004,0.0005,10.4141,148.33421,8.00004,0.8747,18.5417,2.7705,-0.3525
600,1.0000,1.0000,0.0001,0.0002,11.5566,178.20074,9.46319,0.8750,18.8309,2.8447,-0.5003
700,1.0000,1.0000,0.0001,0.0001,12.6389,207.18083,10.82134,0.8723,19.1456,2.9479,-0.5659
800,1.0000,1.0000,0.0000,0.0000,13.7050,235.59687,12.10058,0.8674,19.4699,3.0306,-0.6057
900,1.0000,1.0000,0.0000,0.0000,14.7537,263.61623,13.30194,0.8628,19.8179,3.1121,-0.6458
1000,1.0000,1.0000,0.0000,0.0000,15.7858,291.46775,14.45628,0.8584,20.1620,3.1864,-0.6695
1100,1.0000,1.0000,0.0000,0.0000,16.8086,319.15442,15.56841,0.8539,20.5001,3.2559,-0.6978
1200,1.0000,1.0000,0.0000,0.0000,17.7664,346.78788,16.67528,0.8499,20.7965,3.3165,-0.6926
1300,1.0000,1.0000,0.0000,0.0000,18.5862,374.04440,17.71470,0.8480,21.1149,3.3651,-0.7438
1400,1.0000,1.0000,0.0000,0.0000,19.1549,400.92862,18.55182,0.8481,21.6113,3.4341,-0.4400
1500,1.0000,1.0000,0.0000,0.0000,19.2723,427.82046,19.10741,0.8485,22.3903,3.5427,-0.3527
1600,1.0000,1.0000,0.0000,0.0000,19.2732,454.59258,19.62012,0.8487,23.1697,3.6549,0.1168
1700,1.0000,1.0000,0.0000,0.0000,19.2647,481.29234,20.15125,0.8494,23.8840,3.7641,0.3646
1800,1.0000,1.0000,0.0000,0.0000,19.2947,507.97937,20.69584,0.8494,24.5450,3.8412,0.3111
1900,1.0000,1.0000,0.0000,0.0000,19.2630,534.67084,21.21892,0.8496,25.1978,3.9141,0.4806
2000,1.0000,1.0000,0.0000,0.0000,19.2676,561.31128,21.73747,0.8495,25.8223,3.9856,0.5427
2100,1.0000,1.0000,0.0000,0.0000,19.4473,587.88743,22.28231,0.8498,26.3836,4.0567,-0.2336
2200,1.0000,1.0000,0.0000,0.0000,19.4230,614.37068,22.83395,0.8497,26.9060,4.1208,-0.4519
2300,1.0000,1.0000,0.0000,0.0000,19.4099,640.78751,23.37077,0.8496,27.4183,4.1894,-0.0224
2400,1.0000,1.0000,0.0000,0.0000,19.4702,667.05263,24.02627,0.8493,27.7635,4.2391,-0.4664
2500,1.0000,1.0000,0.0000,0.0000,19.5122,693.24580,24.77988,0.8494,27.9762,4.2665,-0.3319
2600,1.0000,1.0000,0.0000,0.0000,19.5192,719.48008,25.53598,0.8496,28.1752,4.2924,-0.3320
2700,1.0000,1.0000,0.0000,0.0000,19.4864,745.84014,26.13992,0.8495,28.5326,4.3409,-0.4337
2800,1.0000,1.0000,0.0000,0.0000,19.4887,772.33231,26.70106,0.8492,28.9252,4.3890,-0.3163
2900,1.0000,1.0000,0.0000,0.0000,19.4843,798.95182,27.25759,0.8490,29.3112,4.4409,-0.3232
3000,1.0000,1.0000,0.0000,0.0000,19.4718,825.65619,27.79455,0.8487,29.7057,4.4866,-0.3628
