step,train_acc,val_acc,train_loss,val_loss,margin,cum_travel,rel_travel,eff_rank,fro,spec,upd_cos
0,0.0011,0.0002,4.6207,4.6179,-0.8380,0.00000,0.00000,0.9227,3.7396,0.5153,nan
100,1.0000,0.6364,0.4252,2.1695,0.8274,28.72603,4.46686,0.8917,6.4309,0.9080,0.2756
200,1.0000,1.0000,0.1518,0.3586,4.0780,56.53889,6.55996,0.8781,8.6188,1.2442,-0.1076
300,1.0000,1.0000,0.1053,0.1266,5.4546,85.88860,9.94966,0.8735,8.6323,1.4167,-0.2815
400,1.0000,1.0000,0.0759,0.0838,5.9790,114.72696,13.12463,0.8462,8.7413,1.5418,-0.3948
500,1.0000,1.0000,0.0560,0.0613,6.3445,142.56494,15.11655,0.8311,9.4310,1.5571,-0.3794
600,1.0000,1.0000,0.0423,0.0459,6.6631,169.94164,16.75324,0.8212,10.1438,1.5730,-0.4401
700,1.0000,1.0000,0.0328,0.0353,6.9288,197.11240,18.36754,0.8116,10.7316,1.5931,-0.4417
800,1.0000,1.0000,0.0260,0.0278,7.1768,224.15456,19.88656,0.8047,11.2717,1.6039,-0.4464
900,1.0000,1.0000,0.0207,0.0219,7.4103,251.10128,21.34155,0.7985,11.7658,1.6298,-0.4407
1000,1.0000,1.0000,0.0167,0.0176,7.6339,277.91812,22.71526,0.7934,12.2349,1.6774,-0.4398
1100,1.0000,1.0000,0.0137,0.0144,7.8366,304.64672,24.09384,0.7889,12.6442,1.7242,-0.4391
1200,1.0000,1.0000,0.0113,0.0118,8.0211,331.25321,25.42011,0.7855,13.0311,1.7639,-0.4610
1300,1.0000,1.0000,0.0093,0.0097,8.2180,357.78001,26.81675,0.7822,13.3417,1.7987,-0.4027
1400,1.0000,1.0000,0.0078,0.0081,8.3851,384.20201,28.26773,0.7798,13.5915,1.8210,-0.4227
1500,1.0000,1.0000,0.0066,0.0068,8.5600,410.60581,29.89435,0.7781,13.7352,1.8331,-0.4291
1600,1.0000,1.0000,0.0055,0.0057,8.7321,436.87294,31.74775,0.7763,13.7608,1.8309,-0.4219
1700,1.0000,1.0000,0.0047,0.0049,8.8750,463.15739,33.80312,0.7759,13.7016,1.8035,-0.4073
1800,1.0000,1.0000,0.0040,0.0041,9.0322,489.44404,35.96454,0.7747,13.6091,1.7829,-0.4366
1900,1.0000,1.0000,0.0035,0.0036,9.1586,515.71588,38.08438,0.7737,13.5414,1.7678,-0.4391
2000,1.0000,1.0000,0.0030,0.0031,9.2933,541.98656,40.19318,0.7725,13.4845,1.7534,-0.4394
2100,1.0000,1.0000,0.0026,0.0027,9.4206,568.23390,42.21316,0.7713,13.4611,1.7615,-0.4389
2200,1.0000,1.0000,0.0023,0.0024,9.5304,594.52851,44.35071,0.7705,13.4052,1.7552,-0.4499
2300,1.0000,1.0000,0.0021,0.0022,9.6514,620.78977,46.35507,0.7694,13.3921,1.7637,-0.4346
2400,1.0000,1.0000,0.0019,0.0019,9.7584,647.06245,48.38509,0.7687,13.3732,1.7655,-0.4340
2500,1.0000,1.0000,0.0017,0.0017,9.8563,673.31265,50.45416,0.7679,13.3450,1.7661,-0.4267
2600,1.0000,1.0000,0.0015,0.0016,9.9356,699.60606,52.49762,0.7676,13.3264,1.7574,-0.4577
2700,1.0000,1.0000,0.0014,0.0015,10.0193,725.84709,54.51469,0.7671,13.3147,1.7576,-0.4437
2800,1.0000,1.0000,0.0013,0.0013,10.1149,752.11715,56.55268,0.7669,13.2994,1.7510,-0.4391
2900,1.0000,1.0000,0.0012,0.0012,10.1803,778.39519,58.63115,0.7667,13.2761,1.7526,-0.4596
3000,1.0000,1.0000,0.0011,0.0011,10.2556,804.65138,60.60363,0.7668,13.2773,1.7556,-0.4479
