step,behav_acc,probe_x_L0,probe_x_L1,probe_x_L2,probe_x_shuffle,probe_y_L0,probe_y_L1,probe_y_L2,probe_y_shuffle,legality
0,0.2135596126317978,0.326,0.3553,0.3678,0.2249,0.3271,0.3643,0.3723,0.2153,0.8165
5,0.21360574662685394,0.3205,0.3537,0.3613,0.2236,0.3313,0.3615,0.3648,0.2165,0.8289
10,0.25279897451400757,0.3364,0.3639,0.3709,0.2266,0.3347,0.3696,0.3651,0.223,0.8431
20,0.3079247772693634,0.3899,0.3936,0.3848,0.2225,0.3984,0.3917,0.3896,0.2281,0.8595
35,0.30522575974464417,0.5595,0.5382,0.5434,0.2288,0.5264,0.535,0.5323,0.2291,0.8671
50,0.30794015526771545,0.7201,0.7257,0.7227,0.2357,0.6914,0.7111,0.6985,0.2321,0.8942
75,0.30924734473228455,0.7943,0.7883,0.7728,0.2108,0.7712,0.7674,0.7652,0.2276,0.9342
100,0.30837076902389526,0.8583,0.8453,0.8362,0.2051,0.8502,0.8463,0.8326,0.2221,0.9402
150,0.3099932372570038,0.9177,0.9147,0.8963,0.194,0.9108,0.9093,0.8951,0.2052,0.9623
200,0.3130228817462921,0.9663,0.965,0.9489,0.1684,0.9546,0.9605,0.9425,0.2239,0.9716
300,0.31259995698928833,0.9681,0.9797,0.9633,0.1683,0.9745,0.9836,0.9657,0.2148,0.9891
400,0.31174641847610474,0.9785,0.9854,0.9642,0.1977,0.9677,0.9784,0.9546,0.2082,0.9897
600,0.3083092272281647,0.9757,0.9814,0.965,0.1575,0.9824,0.9814,0.9627,0.2144,0.9904
800,0.31242311000823975,0.9928,0.9956,0.982,0.1487,0.9958,0.9959,0.9887,0.2547,0.9972
1100,0.3107929527759552,0.9946,0.9965,0.9733,0.1602,0.992,0.9919,0.9776,0.2333,0.9871
1500,0.31067758798599243,0.9952,0.9913,0.9749,0.1324,0.9904,0.9904,0.9654,0.232,0.9915
2000,0.3110928237438202,0.998,0.9977,0.9833,0.1184,0.9982,0.9983,0.9881,0.2604,0.9986
3000,0.31169259548187256,0.9926,0.9925,0.9841,0.1642,0.9976,0.9989,0.9913,0.2509,0.999
