step,behav_acc,probe_mem_L0,probe_mem_L1,probe_mem_L2,probe_mem_shuffle
0,0.0010482179932296276,0.2184,0.248,0.2422,0.1315
5,0.0,0.219,0.248,0.2433,0.1315
10,0.0,0.2132,0.2346,0.2462,0.1292
20,0.021054208278656006,0.2254,0.2798,0.3024,0.1298
35,0.3129080533981323,0.2323,0.3482,0.3876,0.1228
50,0.5258460640907288,0.2868,0.4623,0.533,0.1257
75,0.9996705651283264,0.9838,0.9907,0.9948,0.1559
100,1.0,0.9936,0.9936,0.9936,0.1512
150,0.9993411302566528,0.9919,0.9925,0.9936,0.1315
200,0.998921811580658,0.9907,0.9913,0.9913,0.1535
300,0.9992812275886536,0.9907,0.9919,0.9907,0.1506
400,0.9994309544563293,0.9942,0.993,0.9942,0.1559
600,0.9990116953849792,0.9913,0.9907,0.9907,0.1669
800,0.9997004866600037,0.993,0.9936,0.9936,0.1425
1100,0.9997603893280029,0.9936,0.993,0.993,0.1367
1500,0.9999400973320007,0.9913,0.9907,0.9936,0.1501
2000,1.0,0.9919,0.9907,0.9925,0.1402
2500,1.0,0.9925,0.9913,0.9913,0.1477
